run_date,session_date,list,ticker,price,dist_pct,rel_volume
2026-07-01,2026-07-01,Near,BIVA:FIBRAMQ/12,44.46,2.26,0.13
2026-07-01,2026-07-01,Near,BME:ANA,272.6,4.35,0.39
2026-07-01,2026-07-01,Near,BME:BBVA,21.95,1.7,0.42
2026-07-01,2026-07-01,Near,BME:BKT,14.715,3.35,0.82
2026-07-01,2026-07-01,Near,BME:CABK,12.5,1.92,0.63
2026-07-01,2026-07-01,Near,BME:CAF,63.5,3.64,0.84
2026-07-01,2026-07-01,Near,BME:ELE,38.74,3.37,0.66
2026-07-01,2026-07-01,Near,BME:FCC,12.52,1.11,0.94
2026-07-01,2026-07-01,Near,BME:GGC,161.0,0.62,
2026-07-01,2026-07-01,Near,BME:IBE,21.43,2.94,0.68
2026-07-01,2026-07-01,Near,BME:ITX,55.74,4.36,0.76
2026-07-01,2026-07-01,Near,BME:LOG,33.62,2.49,0.81
2026-07-01,2026-07-01,Near,BME:MEL,11.94,4.71,0.94
2026-07-01,2026-07-01,Near,BME:MRL,15.31,3.83,1.17
2026-07-01,2026-07-01,Near,BME:SAN,12.116,0.03,0.69
2026-07-01,2026-07-01,Near,BME:XEKT,17.3,0.57,
2026-07-01,2026-07-01,Near,BMFBOVESPA:ABEV3,16.2,4.93,0.7
2026-07-01,2026-07-01,Near,BMFBOVESPA:BBSE3,38.13,4.96,1.57
2026-07-01,2026-07-01,Near,BMFBOVESPA:CSMG3,61.14,0.63,0.96
2026-07-01,2026-07-01,Near,BMFBOVESPA:CXSE3,19.86,1.34,5.45
2026-07-01,2026-06-24,Near,BMV:CABLE/CPO,55.0,0.0,0.34
2026-07-01,2026-07-01,Near,BMV:CMOCTEZ,85.0,0.57,0.41
2026-07-01,2026-07-01,Near,BMV:FEMSA/UB,166.0,1.19,2.14
2026-07-01,2026-07-01,Near,BMV:GPROFUT,126.4,0.0,0.11
2026-07-01,2026-07-01,Near,BMV:ICH/B,180.0,1.1,2.81
2026-07-01,2026-06-29,Near,BMV:IDEAL/B-1,43.0,2.27,0.05
2026-07-01,2026-07-01,Near,BMV:SIMEC/B,174.0,4.4,0.02
2026-07-01,2026-07-01,Near,BVC:NUTRESA,308000.0,3.45,0.0
2026-07-01,2026-07-01,Near,BVL:ALICORC1,12.0,1.64,0.5
2026-07-01,2026-06-19,Near,BVL:BACKUAC1,233.64,0.0,0.35
2026-07-01,2026-07-01,Near,BVL:BBVAC1,1.96,2.08,0.59
2026-07-01,2026-07-01,Near,BVL:CVERDEC1,67.0,0.0,0.03
2026-07-01,2026-07-01,Near,BVL:INRETC1,36.99,0.03,0.09
2026-07-01,2026-07-01,Near,BVL:INTERBC1,1.93,3.5,0.12
2026-07-01,2026-07-01,Near,BVL:SPCCPI1,240.0,0.83,1.68
2026-07-01,2026-07-01,Near,DFM:DU,11.8,0.84,1.95
2026-07-01,2026-07-01,Near,EURONEXT:A5G,10.23,4.84,0.86
2026-07-01,2026-07-01,Near,EURONEXT:ABI,71.22,4.63,0.86
2026-07-01,2026-07-01,Near,EURONEXT:AC,50.46,2.96,0.78
2026-07-01,2026-07-01,Near,EURONEXT:AGN,7.578,0.55,0.97
2026-07-01,2026-07-01,Near,EURONEXT:AGS,69.75,0.43,0.68
2026-07-01,2026-07-01,Near,EURONEXT:AI,176.3,0.81,0.84
2026-07-01,2026-07-01,Near,EURONEXT:ALLFG,8.445,4.9,3.99
2026-07-01,2026-07-01,Near,EURONEXT:AMUN,83.85,4.12,0.57
2026-07-01,2026-07-01,Near,EURONEXT:ARGX,793.6,3.03,0.93
2026-07-01,2026-07-01,Near,EURONEXT:ASRNL,66.1,2.99,1.25
2026-07-01,2026-07-01,Near,EURONEXT:BCP,1.0435,0.71,0.7
2026-07-01,2026-07-01,Near,EURONEXT:BNP,101.16,1.79,0.62
2026-07-01,2026-07-01,Near,EURONEXT:CBDG,104.0,3.7,0.02
2026-07-01,2026-07-01,Near,EURONEXT:CS,43.5,1.32,0.65
2026-07-01,2026-07-01,Near,EURONEXT:EDPR,14.21,3.14,0.81
2026-07-01,2026-07-01,Near,EURONEXT:ELIS,26.92,4.06,1.49
2026-07-01,2026-07-01,Near,EURONEXT:GL9,24.26,0.98,0.9
2026-07-01,2026-07-01,Near,EURONEXT:GLE,76.85,2.81,1.08
2026-07-01,2026-07-01,Near,EURONEXT:INGA,27.64,1.9,0.73
2026-07-01,2026-07-01,Near,EURONEXT:INPST,15.41,0.19,0.49
2026-07-01,2026-07-01,Near,EURONEXT:IPN,165.8,4.44,0.81
2026-07-01,2026-07-01,Near,EURONEXT:KBC,119.7,4.47,0.6
2026-07-01,2026-07-01,Near,EURONEXT:KBCA,83.1,0.36,1.07
2026-07-01,2026-07-01,Near,EURONEXT:LI,36.12,3.06,0.78
2026-07-01,2026-07-01,Near,EURONEXT:LOTB,11520.0,2.87,0.87
2026-07-01,2026-07-01,Near,EURONEXT:LOUP,120.2,4.45,0.43
2026-07-01,2026-07-01,Near,EURONEXT:MICC,15.706,4.74,0.67
2026-07-01,2026-07-01,Near,EURONEXT:ML,34.0,2.02,0.51
2026-07-01,2026-07-01,Near,EURONEXT:NN,75.82,1.81,0.83
2026-07-01,2026-07-01,Near,EURONEXT:ODET,1458.0,4.71,0.32
2026-07-01,2026-07-01,Near,EURONEXT:RXL,37.48,4.41,0.85
2026-07-01,2026-07-01,Near,EURONEXT:SAF,349.9,0.37,0.83
2026-07-01,2026-07-01,Near,EURONEXT:SON,2.015,2.89,1.03
2026-07-01,2026-07-01,Near,EURONEXT:SWICH,7.16,2.72,0.01
2026-07-01,2026-07-01,Near,EURONEXT:VIE,35.74,2.38,1.51
2026-07-01,2026-07-01,Near,GPW:ALE,38.57,2.99,0.69
2026-07-01,2026-07-01,Near,GPW:BFT,4924.0,0.16,0.9
2026-07-01,2026-07-01,Near,GPW:CAR,807.0,3.47,1.46
2026-07-01,2026-07-01,Near,GPW:EBP,644.2,3.48,0.96
2026-07-01,2026-07-01,Near,GPW:KTY,1206.0,4.89,0.23
2026-07-01,2026-07-01,Near,GPW:PCO,36.69,2.86,0.83
2026-07-01,2026-07-01,Near,GPW:PKO,104.6,3.22,1.25
2026-07-01,2026-07-01,Near,GPW:XTB,110.0,3.51,1.64
2026-07-01,2026-07-01,Near,GPW:ZAB,27.65,0.82,0.77
2026-07-01,2026-06-30,Near,HKEX:1191,191.8,4.67,
2026-07-01,2026-06-30,Near,HKEX:1651,70.25,1.89,2.54
2026-07-01,2026-06-30,Near,HKEX:2553,52.2,4.04,1.67
2026-07-01,2026-06-30,Near,HKEX:2672,75.0,2.41,
2026-07-01,2026-06-30,Near,HKEX:522,238.8,2.29,1.75
2026-07-01,2026-06-30,Near,HKEX:669,129.5,1.67,1.03
2026-07-01,2026-06-30,Near,HKEX:981,89.4,4.39,1.22
2026-07-01,2026-07-01,Near,HOSE:STB,73200.0,4.69,0.42
2026-07-01,2026-07-01,Near,KRX:004170,776000.0,2.02,0.86
